Date,Day,Inflows,Outflows,Net Cash Flow,Closing Balance
2026-01-15,Thursday,37230.78,15116.8,22113.98,372113.98
2026-01-16,Friday,37274.83,7230.62,30044.21,402158.19
2026-01-17,Saturday,41327.4,6558.56,34768.84,436927.03
2026-01-18,Sunday,43770.42,7478.79,36291.63,473218.66
2026-01-19,Monday,39539.68,6399.68,33140.0,506358.66
2026-01-20,Tuesday,34396.9,12075.13,22321.77,528680.43
2026-01-21,Wednesday,36556.08,6414.05,30142.03,558822.46
2026-01-22,Thursday,36552.25,6054.64,30497.61,589320.07
2026-01-23,Friday,37537.5,7434.55,30102.95,619423.02
2026-01-24,Saturday,44524.68,5892.09,38632.59,658055.61
2026-01-25,Sunday,42247.79,7917.71,34330.08,692385.69
2026-01-26,Monday,37348.48,7023.08,30325.4,722711.09
2026-01-27,Tuesday,35287.83,5516.85,29770.98,752482.07
2026-01-28,Wednesday,38336.42,7333.66,31002.76,783484.83
2026-01-29,Thursday,37729.09,6348.84,31380.25,814865.08
2026-01-30,Friday,34486.77,6315.5,28171.27,843036.35
2026-01-31,Saturday,43236.04,5794.86,37441.18,880477.53
