Date,Day,Inflows,Outflows,Net Cash Flow,Closing Balance
2026-01-15,Thursday,38520.14,15463.57,23056.57,373056.57
2026-01-16,Friday,39156.37,6884.3,32272.07,405328.64
2026-01-17,Saturday,45543.4,6761.47,38781.93,444110.57
2026-01-18,Sunday,42256.98,5547.99,36708.99,480819.56
2026-01-19,Monday,35650.16,5541.43,30108.73,510928.29
2026-01-20,Tuesday,36919.57,12315.57,24604.0,535532.29
2026-01-21,Wednesday,36408.87,5358.14,31050.73,566583.02
2026-01-22,Thursday,36060.28,6860.69,29199.59,595782.61
2026-01-23,Friday,37240.18,6065.22,31174.96,626957.57
2026-01-24,Saturday,41757.03,7036.05,34720.98,661678.55
2026-01-25,Sunday,41737.43,7397.38,34340.05,696018.6
2026-01-26,Monday,37282.84,6976.65,30306.19,726324.79
2026-01-27,Tuesday,39950.57,6041.05,33909.52,760234.31
2026-01-28,Wednesday,37059.94,5217.8,31842.14,792076.45
2026-01-29,Thursday,35234.69,6630.79,28603.9,820680.35
